Event,Win/Loss/Draw,Fighter,Opponent,Method,Referee,Round,Time,Closed Odds
"MF - Matrix Fights 6","WIN","JULIO ARCE","KENNETH NAGLE","KO (Punches)","N/A","1","1:46",""
"Helster MMA - Fight Night","WIN","JULIO ARCE","NATE MANGO","Submission (Rear-Naked Choke)","Vincent Dudley","1","1:53",""
"MF - Matrix Fights 3","WIN","JULIO ARCE","ANTHONY GUTIERREZ","Decision (Unanimous)","Andrew Correa","3","3:00",""
"ROC - Bi-Annual Amateur Championships 2","WIN","JULIO ARCE","MATT FRIEDEBORN","Submission (Rear-Naked Choke)","Gasper Oliver","1","1:50",""
"AFL - Asylum Fight League 24","WIN","JULIO ARCE","CHRIS WRIGHT","Decision (Unanimous)","Tom Velasquez","3","3:00",""
"AFL - Asylum Fight League 18","WIN","JULIO ARCE","RJ STARACE","Decision (Unanimous)","Keith Peterson","3","3:00",""
"NBF - New Breed Fighters IX","WIN","JULIO ARCE","TRE STEINHOFF","Submission (Rear-Naked Choke)","N/A","1","0:59",""
"UFC Fight Night 157 - Andrade vs. Zhang","LOSS","JUN YONG PARK","ANTHONY HERNANDEZ","Submission (Anaconda Choke)","Steve Perceval","2","4:39","+120"
"Real Fight - Double Impact","WIN","JUN YONG PARK","MATVEY IVANENKO","TKO (Punches)","N/A","1","0:49",""
"RFC Way of the Dragon 2 - Taiwan Pro Combat Championship","WIN","JUN YONG PARK","GLENN SPARV","Decision (Unanimous)","N/A","3","5:00",""
"HFS - Hex Fight Series 13","WIN","JUN YONG PARK","JOHN VAKE","TKO (Punches)","Gerald Burton-Batty","2","2:14",""
"Heat - Heat 41","WIN","JUN YONG PARK","KOJI SHIKUWA","TKO (Punches)","N/A","3","1:57",""
"TFC 15 - Top FC 15","WIN","JUN YONG PARK","SEH-YOON  JEONG","Submission (Rear-Naked Choke)","N/A","1","2:25",""
"PXC 56 - Pacific Xtreme Combat 56","WIN","JUN YONG PARK","RAY COOPER III","Submission (Anaconda Choke)","N/A","1","N/A",""
"MFP 204 - International Pankration Tournament","WIN","JUN YONG PARK","GRIGORIY SIRENKO","Submission (Rear-Naked Choke)","Evgeniy Zlivko","1","2:23",""
"KZMMAF - Battle of Nomads 9","LOSS","JUN YONG PARK","SHAVKAT RAKHMONOV","Submission (Rear-Naked Choke)","Vyacheslav Kiselev","2","1:51",""
"AOW 16 - Art of War 16","WIN","JUN YONG PARK","OLEG OLENICHEV","TKO (Retirement)","N/A","1","10:00",""
"Top FC 9 - Battle of Incheon","LOSS","JUN YONG PARK","SUNG WON SON","Decision (Split)","N/A","3","5:00",""
"Top FC 6 - Unbreakable Dream","WIN","JUN YONG PARK","JAE WOONG KIM","KO (Knee)","N/A","2","0:00",""
"Top FC 5 - Top Fighting Championship 5","WIN","JUN YONG PARK","YUL KIM","Decision (Unanimous)","N/A","3","5:00",""
"Top FC - National League 1","LOSS","JUN YONG PARK","JAE YOUNG KIM","Decision (Unanimous)","Seung Jae Lee","2","5:00",""
"WMMAA - 5th World MMA Championships 2017, Day 1","LOSS","JUN YONG PARK","MAGOMED SHAKHRUDINOV","Decision (Unanimous)","N/A","2","3:00",""
"UFC on ESPN 3 - Ngannou vs. Dos Santos","LOSS","JUNIOR ALBINI","MAURICE GREENE","TKO (Punches)","Jason Herzog","1","3:38","-115"
"UFC Fight Night 144 - Assuncao vs. Moraes 2","LOSS","JUNIOR ALBINI","JAIRZINHO ROZENSTRUIK","TKO (Head Kick and Punches)","Joao Claudio Soares","2","0:54","-153"
"UFC 224 - Nunes vs. Pennington","LOSS","JUNIOR ALBINI","ALEXEY OLEYNIK","Submission (Ezekiel Choke)","Leon Roberts","1","1:45","-180"
"UFC Fight Night 120 - Poirier vs. Pettis","LOSS","JUNIOR ALBINI","ANDREI ARLOVSKI","Decision (Unanimous)","Bill Bookwalter","3","5:00","-392"
"UFC on Fox 25 - Weidman vs. Gastelum","WIN","JUNIOR ALBINI","TIMOTHY JOHNSON","TKO (Punches)","John McCarthy","1","2:51","+190"
"AFC 43 - Baby vs. Dragao","WIN","JUNIOR ALBINI","JOSE RODRIGO GUELKE","Decision (Unanimous)","N/A","3","5:00",""
"SBC 10 - Serbian Battle Championship 10","WIN","JUNIOR ALBINI","IVAN VICIC","TKO (Punches)","Velimir Mladenov","1","0:58",""
"AFC - Aspera Fighting Championship 38","WIN","JUNIOR ALBINI","TIAGO CARDOSO","KO (Elbow)","Roberto Thomaz","3","4:45",""
"AFC - Aspera FC 14","WIN","JUNIOR ALBINI","PAULO FERREIRA","Submission (Heel Hook)","Alan dos Santos","1","1:12",""
"AFC - Aspera FC 13","WIN","JUNIOR ALBINI","ARLEY SIMETTI","Submission (Armbar)","Alan dos Santos","1","2:22",""
"AFC - Aspera FC 11","WIN","JUNIOR ALBINI","DIOGO JOAQUIM SILVEIRA","KO (Knee)","Alan dos Santos","1","3:37",""
"AFC - Aspera FC 8","WIN","JUNIOR ALBINI","BRUNO POLACO","Submission (Arm-Triangle Choke)","Alan dos Santos","1","0:36",""
"Smash Fight 3 - Rising Stars","WIN","JUNIOR ALBINI","ALISON VICENTE","Decision (Unanimous)","Francisco Melo","3","5:00",""
"FF - Felino Fight 3","WIN","JUNIOR ALBINI","JULIO BIZZARRI","Submission (Guillotine Choke)","N/A","1","1:14",""
"NCF - Nitrix Champion Fight 12","LOSS","JUNIOR ALBINI","ALBERTO EMILIANO PEREIRA","Submission (Triangle Choke)","N/A","2","2:42",""
"PFE - Power Fight Extreme 6","LOSS","JUNIOR ALBINI","NELSON JACA","Submission (Arm-Triangle Choke)","N/A","2","2:53",""
"MF - Max Fight 9","WIN","JUNIOR ALBINI","FERNANDO TRESSINO","TKO (Knee)","N/A","1","2:01",""
"CM System - Challenger","WIN","JUNIOR ALBINI","EVERTON PANDA","Submission (Armbar)","N/A","1","0:50",""
"AGF - Arena Gold Fights 2","WIN","JUNIOR ALBINI","MARCOS    VINICIUS","Submission (Triangle Choke)","Robertao German","1","3:55",""
"PF - Paranagua Fight 5","WIN","JUNIOR ALBINI","BRUNO ALBOITT","TKO (Punches)","N/A","1","4:10",""
"UFC on ESPN 3 - Ngannou vs. Dos Santos","LOSS","JUNIOR DOS SANTOS","FRANCIS NGANNOU","TKO (Punches)","Herb Dean","1","1:11","+160"
"UFC Fight Night 146 - Lewis vs. Dos Santos","WIN","JUNIOR DOS SANTOS","DERRICK LEWIS","TKO (Punches)","Herb Dean","2","1:58","-247"
"UFC Fight Night 142 - Dos Santos vs. Tuivasa","WIN","JUNIOR DOS SANTOS","TAI TUIVASA","TKO (Punches)","Herb Dean","2","2:30","-165"
"UFC Fight Night 133 - Dos Santos vs. Ivanov","WIN","JUNIOR DOS SANTOS","BLAGOY IVANOV","Decision (Unanimous)","Herb Dean","5","5:00","-255"
"UFC 211 - Miocic vs. Dos Santos 2","LOSS","JUNIOR DOS SANTOS","STIPE MIOCIC","TKO (Punches)","Herb Dean","1","2:22","+110"
"UFC Fight Night 86 - Rothwell vs. Dos Santos","WIN","JUNIOR DOS SANTOS","BEN ROTHWELL","Decision (Unanimous)","Leon Roberts","5","5:00","-130"
"UFC on Fox 17 - Dos Anjos vs. Cerrone 2","LOSS","JUNIOR DOS SANTOS","ALISTAIR OVEREEM","TKO (Punches)","Dan Miragliotta","2","4:43","-300"
"UFC on Fox 13 - Dos Santos vs. Miocic","WIN","JUNIOR DOS SANTOS","STIPE MIOCIC","Decision (Unanimous)","Herb Dean","5","5:00","-485"
"UFC 166 - Velasquez vs. Dos Santos 3","LOSS","JUNIOR DOS SANTOS","CAIN VELASQUEZ","TKO (Slam and Punch)","Herb Dean","5","3:09","+160"
"UFC 160 - Velasquez vs. Bigfoot 2","WIN","JUNIOR DOS SANTOS","MARK HUNT","KO (Spinning Hook Kick)","Steve Mazzagatti","3","4:18","-525"
"UFC 155 - Dos Santos vs. Velasquez 2","LOSS","JUNIOR DOS SANTOS","CAIN VELASQUEZ","Decision (Unanimous)","Herb Dean","5","5:00","-230"
"UFC 146 - Dos Santos vs. Mir","WIN","JUNIOR DOS SANTOS","FRANK MIR","TKO (Punches)","Herb Dean","2","3:04","-555"
"UFC on Fox 1 - Velasquez vs. Dos Santos","WIN","JUNIOR DOS SANTOS","CAIN VELASQUEZ","KO (Punches)","John McCarthy","1","1:04","-110"
"UFC 131 - Dos Santos vs. Carwin","WIN","JUNIOR DOS SANTOS","SHANE CARWIN","Decision (Unanimous)","Herb Dean","3","5:00","-170"
"UFC 117 - Silva vs. Sonnen","WIN","JUNIOR DOS SANTOS","ROY NELSON","Decision (Unanimous)","Marcos Rosales","3","5:00","-417"
"UFC Live 1 - Vera vs. Jones","WIN","JUNIOR DOS SANTOS","GABRIEL GONZAGA","TKO (Punches)","Josh Rosenthal","1","3:53","-357"
"UFC 108 - Evans vs. Silva","WIN","JUNIOR DOS SANTOS","GILBERT YVEL","TKO (Punches)","Herb Dean","1","2:07","-365"
"UFC 103 - Franklin vs. Belfort","WIN","JUNIOR DOS SANTOS","MIRKO FILIPOVIC","TKO (Submission to Punch)","Dan Miragliotta","3","2:00","-175"
"UFC 95 - Sanchez vs. Stevenson","WIN","JUNIOR DOS SANTOS","STEFAN STRUVE","TKO (Punches)","Dan Miragliotta","1","0:54","-333"
"UFC 90 - Silva vs. Cote","WIN","JUNIOR DOS SANTOS","FABRICIO WERDUM","TKO (Punches)","Marc Fennell","1","1:21","+270"
"DF - Demo Fight 3","WIN","JUNIOR DOS SANTOS","GERONIMO DOS SANTOS","TKO (Doctor Stoppage)","N/A","1","N/A",""
"MTL - Final","LOSS","JUNIOR DOS SANTOS","JOAQUIM FERREIRA","Submission (Armbar)","N/A","1","1:13",""
